Player Name,Country,Matches,Innings,Runs,Average,Strike Rate,Wickets,Bowling Average,Economy
Virat Kohli,India,302,289,13906,58.07,93.58,4,72.25,5.23
Rohit Sharma,India,262,256,10709,48.96,91.72,8,56.38,5.78
Babar Azam,Pakistan,120,120,5084,56.81,89.12,1,120.00,6.00
Steve Smith,Australia,195,182,9449,46.82,82.34,0,0,0
Joe Root,England,171,167,7479,47.62,89.36,1,69.00,5.69
Kane Williamson,New Zealand,167,162,6894,47.15,80.65,1,30.00,4.50
AB de Villiers,South Africa,228,218,10014,53.50,101.09,3,46.67,5.33
David Warner,Australia,169,168,7074,45.28,95.45,0,0,0
Quinton de Kock,South Africa,155,152,6446,40.31,95.45,0,0,0
Ross Taylor,New Zealand,233,215,8184,45.69,83.25,3,52.00,5.20
Shai Hope,West Indies,124,121,5132,46.65,81.23,0,0,0
Martin Guptill,New Zealand,170,165,6521,41.84,83.91,0,0,0
Eoin Morgan,England,248,231,6933,39.49,91.24,0,0,0
Paul Stirling,Ireland,149,145,5334,40.56,84.56,2,45.50,5.00
Sikandar Raza,Zimbabwe,91,85,2992,38.87,89.12,28,35.46,5.23
Kusal Mendis,Sri Lanka,96,92,3122,38.02,85.67,0,0,0
Tamim Iqbal,Bangladesh,163,162,6898,38.83,76.98,0,0,0
Mahmudullah,Bangladesh,209,175,5131,33.23,80.56,42,41.21,4.89
Mushfiqur Rahim,Bangladesh,200,185,6657,37.50,84.23,0,0,0
Shakib Al Hasan,Bangladesh,219,200,7577,37.23,81.45,142,30.99,4.23
Imam-ul-Haq,Pakistan,74,74,3453,49.33,81.23,0,0,0
Fakhar Zaman,Pakistan,72,70,2599,39.38,93.45,0,0,0
Hashmatullah Shahidi,Afghanistan,52,48,1481,34.21,78.56,0,0,0
Mohammad Nabi,Afghanistan,125,95,2372,32.70,88.45,52,35.67,4.56
Samiullah Shinwari,Afghanistan,83,76,1796,29.28,92.34,7,48.14,5.12
Asghar Afghan,Afghanistan,114,99,1767,23.58,80.45,7,42.86,4.89
Rahmat Shah,Afghanistan,61,57,1332,27.33,72.34,1,60.00,5.00
Najibullah Zadran,Afghanistan,62,56,1246,28.32,85.67,0,0,0
Gulbadin Naib,Afghanistan,57,46,636,20.52,78.90,17,34.29,5.23
Rashid Khan,Afghanistan,86,57,785,22.43,88.45,113,18.67,4.12
Mujeeb Ur Rahman,Afghanistan,64,36,294,20.28,78.90,60,24.50,4.56
Hamid Hassan,Afghanistan,30,16,77,9.62,60.12,32,19.84,4.78
Dawlat Zadran,Afghanistan,76,42,409,17.78,75.45,85,29.23,5.01
Shapoor Zadran,Afghanistan,60,27,107,10.67,62.34,63,28.50,4.89
Fareed Ahmad,Afghanistan,23,9,23,7.66,65.45,25,22.12,5.23
Karim Janat,Afghanistan,27,20,346,25.07,82.34,14,32.50,5.67
Qais Ahmad,Afghanistan,20,9,42,14.00,65.45,18,18.33,4.56
Azmatullah Omarzai,Afghanistan,22,17,294,21.00,90.12,11,28.45,5.34
Rahmanullah Gurbaz,Afghanistan,21,20,539,29.94,112.45,0,0,0
Ibrahim Zadran,Afghanistan,8,8,302,37.75,98.69,0,0,0
Usman Ghani,Afghanistan,27,26,684,29.30,85.67,0,0,0
Afsar Zazai,Afghanistan,18,15,206,17.16,72.34,0,0,0
